company_name,lpa,skills,experience_needed,logo
Netflix,28.3,"Python, C++, SQL",2
Microsoft,12.0,"Docker, SQL",3
Amazon,34.2,"HTML, Django, Node.js",4
Meta,33.3,"Node.js, Deep Learning, Python, Java",3
Microsoft,35.5,"AWS, Java, Deep Learning, Machine Learning, C++",1
Google,21.9,"Kubernetes, Python, CSS, Java",5
IBM,34.8,"HTML, React, SQL, Docker",2
Tesla,32.5,"Kubernetes, HTML, React, Docker, Python",6
Netflix,33.4,"HTML, C++",8
Microsoft,15.0,"JavaScript, Java, SQL",6
IBM,3.7,"Machine Learning, React, Deep Learning, Python, JavaScript",5
Microsoft,12.8,"Kubernetes, Django",1
Oracle,7.3,"AWS, Django, Node.js, Deep Learning, Docker",7
Google,29.6,"Deep Learning, C++, Machine Learning, Node.js, Django",10
Oracle,35.6,"React, C++, Machine Learning, JavaScript, Django",7
Tesla,3.5,"React, Django, Deep Learning, Kubernetes, Java",7
Amazon,27.6,"HTML, React, Django, SQL",6
Google,25.3,"CSS, Java, C++, Node.js, Python",5
Google,7.0,"Node.js, Docker",1
Accenture,15.6,"Kubernetes, Node.js, Django, Java",2
Accenture,38.0,"Kubernetes, Docker",8
Google,14.4,"HTML, JavaScript, AWS, Java",7
Accenture,29.2,"HTML, Python, CSS, JavaScript, Java",8
Amazon,15.6,"JavaScript, HTML, React, Django",3
Adobe,31.5,"Django, SQL, C++, HTML",2
Tesla,36.9,"Java, HTML, Python, AWS",1
Accenture,31.8,"Java, C++",4
Accenture,32.0,"Deep Learning, JavaScript, Java, Kubernetes",10
Amazon,22.2,"Machine Learning, AWS, Docker, Java, Kubernetes",0
IBM,37.1,"Machine Learning, Deep Learning",9
Netflix,26.4,"Docker, Machine Learning, Python, Deep Learning",7
Oracle,26.8,"HTML, Node.js, React",1
Tesla,39.3,"JavaScript, Deep Learning",8
Microsoft,6.0,"Kubernetes, React, HTML, Django",1
IBM,32.2,"AWS, Node.js, Deep Learning",0
Oracle,11.9,"Java, CSS, AWS",3
Meta,24.4,"Machine Learning, SQL",3
Tesla,15.9,"React, C++",10
Amazon,16.2,"SQL, React, JavaScript",0
Meta,32.8,"JavaScript, CSS, Docker, AWS, C++",6
Amazon,11.8,"Machine Learning, Java, React, CSS, JavaScript",0
Tesla,15.6,"Django, Docker, Kubernetes, Java, HTML",9
Adobe,26.6,"SQL, Machine Learning",1
IBM,10.2,"Docker, Kubernetes, AWS, HTML",7
Tesla,33.6,"CSS, Java, Node.js, JavaScript, AWS",10
Microsoft,29.0,"AWS, Kubernetes",7
Adobe,12.1,"CSS, Docker, AWS, SQL",3
Meta,37.3,"Kubernetes, Machine Learning, Node.js",6
Amazon,25.7,"JavaScript, Python",1
Microsoft,32.3,"SQL, Docker",10
Oracle,5.8,"Deep Learning, AWS, Python, Java",9
Accenture,28.5,"Java, Deep Learning",3
Amazon,5.6,"Django, AWS",10
Adobe,32.7,"Kubernetes, Node.js, AWS",8
Microsoft,14.7,"Deep Learning, React, JavaScript",10
Oracle,28.1,"C++, React, HTML",3
Adobe,39.4,"Java, Python, SQL",0
Microsoft,38.7,"SQL, JavaScript, Node.js, Python",1
IBM,20.9,"Kubernetes, Docker",2
IBM,39.8,"C++, Machine Learning",7
IBM,4.2,"AWS, SQL, Docker, JavaScript",9
Microsoft,34.6,"C++, Python, React",3
Accenture,32.0,"SQL, React, Machine Learning",5
Adobe,9.3,"HTML, Machine Learning, Java, React",9
Adobe,33.6,"SQL, Python, Node.js, React",10
Adobe,24.6,"JavaScript, Deep Learning, CSS, C++",2
